Tiempo (mseg)	Length 	Destinos
20089218	1320	2223940182
20089287	1320	2223940182
20089394	1320	2223940182
20089501	1320	2223940182
20089521	28	22121477134
20089541	1320	2223940182
20089619	28	22121477134
20089619	28	6113883144
20089619	28	60223249107
20089619	1320	2223940182
20089677	28	60223249107
20089677	567	2223940182
20089775	28	22121477134
20089804	28	22121477134
20089863	28	22121477134
20089892	28	22121477134
20089892	28	1942916946
20089912	28	2211055233
20089960	28	22121477134
20090009	28	123188228233
20090009	28	5977255216
20090068	28	60223249107
20090156	88	22213818229
20090156	1320	22213818229
20090156	1320	22213818229
20090263	1320	22213818229
20090371	1320	22213818229
20090478	1320	22213818229
20090585	1320	22213818229
20090693	1320	22213818229
20090712	28	2223940182
20090712	28	601318386
20090820	28	2211055233
20090878	28	22121477134
20090908	28	22121477134
20091005	28	1239106142
20091005	40	1239106142
20091005	42	1239106142
20091005	314	1239106142
20091191	28	193205213188
20091767	48	22213818229
20091767	33	22213818229
20091826	28	22121477134
20092041	28	1526624877
20092167	28	60223249107
20092187	28	22121477134
20092246	28	22121477134
20092265	28	22121477134
20092802	46	60223249107
20092939	28	22213818229
20093173	28	22121477134
20093193	48	22121477134
20093193	28	12490251140
20093349	28	22121477134
20093378	28	22121477134
20093417	28	22121477134
20093544	28	22213818229
20093779	28	6022222969
20093886	42	12313156133
20093906	28	22121477134
20094023	28	2211055233
20094062	28	22121477134
20094531	28	22123824103
20094667	28	22121477134
20094892	28	1526624877
20094921	28	2211055233
20094990	28	193205213188
20095078	28	22121477134
20095097	28	22121477134
20095136	42	12313156133
20095136	28	60223249107
20095185	28	22121477134
20095234	28	1942916946
20095732	28	6021619742
20095791	28	601318386
20095820	28	601318386
20095878	28	601318386
20095898	28	601318386
20095976	76	1942916944
20096201	28	12312254215
20096201	28	60223249107
20096279	28	1221401832
20096474	28	193205213189
20096591	28	1942916943
20097021	380	1239106142
20097236	28	60223249107
20097333	28	6113883144
20097695	1320	2223940182
20098212	28	8223122266
20098564	42	2211055233
20098857	1320	2223940182
20098955	28	12490251140
20098984	80	22123824208
20099414	28	6022222969
20099472	28	8412304
20099765	28	1526624877
20099902	28	58213116132
20099980	1320	2223940182
20100087	660	2223940182
20100214	28	9821624192
20100283	76	218194444
20100283	28	1942916944
20100292	76	8223122266
20100292	52	1923317824
20100292	20	9821624192
20100322	28	60223249107
20100322	76	1526624842
20100322	52	58193479
20100322	20	6021619742
20100429	76	60223249107
20100429	52	12416419741
20100429	20	1169236154
20100537	76	12313156133
20100537	52	221214179207
20100537	20	193205213189
20100556	28	1239106142
20100556	1320	2223940182
20100556	76	22213313851
20100556	52	6151190227
20100556	20	22123824103
20100576	28	1942916946
20100576	76	60223249107
20100576	52	19320521332
20100576	20	2211055233
20100634	76	218656830
20100634	52	11656130
20100634	20	22213818229
20100683	28	1526624877
20100683	76	601318386
20100683	52	1942916944
20100683	20	5977255216
20100703	28	1942916948
20100703	76	60223249107
20100703	52	1526624891
20100791	28	8412304
20100898	538	12312254215
20100947	28	60223249107
20101005	28	60223249107
20101025	28	60223249107
20101367	28	22121477134
20101406	28	2223940182
20101425	28	60223249107
20101494	28	6113883144
20101601	28	22121477134
20101708	46	60223249107
20101884	28	22121477134
20101943	28	22121477134
20101972	28	22121477134
20102080	60	22123824208
20102089	1320	2223940182
20102197	46	60223249107
20102441	1320	2223940182
20102480	28	601318386
20102519	28	1526624877
20102675	80	22123824208
20102724	28	8223122266
20102792	42	22123824103
20102792	28	22121477134
20102812	28	22121477134
20102841	28	22121477134
20102841	28	1942916943
20103027	28	22121477134
20103046	1320	2223940182
20103076	622	2223940182
20103320	80	19320521332
20103427	52	1923317824
20103427	52	58193479
20103427	80	116117224
20103466	1320	2223940182
20103486	28	8412304
20103593	52	12416419741
20103593	52	221214179207
20103593	52	6151190227
20103701	52	19320521332
20103701	52	11656130
20103701	52	1942916944
20103701	52	1526624891
20103906	28	12490251140
20104091	76	22121477134
20104150	76	1942916944
20104355	1320	2223940182
20104628	1008	2223940182
20104736	42	12313156133
20105048	28	1923317824
20105048	74	1923317824
20105078	28	12312254215
20105673	28	6022222969
20105810	60	22123824208
20105996	28	601318386
20106093	28	193205213188
20106230	28	1942916946
20106367	60	19320521332
20106425	28	60223249107
20106523	60	116117224
20106523	28	1526624891
20106523	74	1526624891
20106552	28	2223940182
20106552	76	193205213188
20106552	52	601922132
20106582	94	1942916944
20106689	42	12313156133
20106787	28	60223249107
20107001	42	12313156133
20107080	28	60223249107
20107246	28	22121477134
20107275	28	8412304
20107441	28	22121477134
